,activator1,affinity1,activator2,affinity2,,#1,#2,#3,#5,geometricmeanGFP1,geometricmeanGFP2,geometricmeanGFP3,background,GFPfa1,GFPfa2,GFPfa3
48,HSF1,ZF(WT),empty,ZF(7X),48,KC11,KC303,SS,206,703,702,665,,2.877216917,2.873124147,2.721691678
49,HSF1,ZF(5X),empty,ZF(WT),49,KC92,KC300,SS,206,425,408,385,,1.739427012,1.669849932,1.575716235
50,HSF1,ZF(5X),empty,ZF(5X),50,KC92,KC302,SS,206,573,574,532,,2.345156889,2.349249659,2.177353342
51,HSF1,ZF(5X),empty,ZF(7X),51,KC92,KC303,SS,206,670,672,618,,2.742155525,2.750341064,2.529331514
52,HSF1,ZF(7X),empty,ZF(WT),52,KC106,KC300,SS,206,390,380,340,,1.596180082,1.555252387,1.39154161
53,HSF1,ZF(7X),empty,ZF(5X),53,KC106,KC302,SS,206,436,426,384,,1.784447476,1.743519782,1.571623465
54,HSF1,ZF(7X),empty,ZF(7X),54,KC106,KC303,SS,206,460,463,429,,1.882673943,1.894952251,1.75579809
55,HSF1,ZF(WT),-,-,55,KC11,SS,SS,206,740,791,792,,3.028649386,3.237380628,3.241473397
56,HSF1,ZF(5X),-,-,56,KC92,SS,SS,206,678,718,739,,2.774897681,2.938608458,3.024556617
57,HSF1,ZF(7X),-,-,57,KC106,SS,SS,206,477,537,549,,1.952251023,2.19781719,2.246930423
58,-,-,-,-,58,SS,SS,SS,206,221,265,266,,0.904502046,1.084583902,1.088676671
59,HSF1m,ZF(WT),cMyc,ZF(WT),59,KC12,KC10,SS,206,616,632,583,,2.521145975,2.586630286,2.386084584
60,HSF1m,ZF(WT),cMyc,ZF(5X),60,KC12,KC91,SS,206,645,673,668,,2.639836289,2.754433834,2.733969986
61,HSF1m,ZF(WT),cMyc,ZF(7X),61,KC12,KC105,SS,206,638,685,660,,2.611186903,2.803547067,2.701227831
62,HSF1m,ZF(5X),cMyc,ZF(WT),62,KC93,KC10,SS,206,685,705,713,,2.803547067,2.885402456,2.918144611
63,HSF1m,ZF(5X),cMyc,ZF(5X),63,KC93,KC91,SS,206,693,731,732,,2.836289222,2.991814461,2.995907231
64,HSF1m,ZF(5X),cMyc,ZF(7X),64,KC93,KC105,SS,206,695,739,730,,2.844474761,3.024556617,2.987721692
65,HSF1m,ZF(7X),cMyc,ZF(WT),65,KC107,KC10,SS,206,499,553,552,,2.042291951,2.263301501,2.259208731
66,HSF1m,ZF(7X),cMyc,ZF(5X),66,KC107,KC91,SS,206,477,519,533,,1.952251023,2.12414734,2.181446112
67,HSF1m,ZF(7X),cMyc,ZF(7X),67,KC107,KC105,SS,206,485,510,476,,1.984993179,2.087312415,1.948158254
68,HSF1m,ZF(WT),BRD4,ZF(WT),68,KC12,KC9,SS,206,637,593,560,,2.607094134,2.427012278,2.291950887
69,HSF1m,ZF(WT),BRD4,ZF(5X),69,KC12,KC90,SS,206,665,606,598,,2.721691678,2.480218281,2.447476126
70,HSF1m,ZF(WT),BRD4,ZF(7X),70,KC12,KC104,SS,206,662,628,604,,2.70941337,2.570259209,2.472032742
71,HSF1m,ZF(5X),BRD4,ZF(WT),71,KC93,KC9,SS,206,668,643,615,,2.733969986,2.63165075,2.517053206
72,HSF1m,ZF(5X),BRD4,ZF(5X),72,KC93,KC90,SS,206,711,708,667,,2.909959072,2.897680764,2.729877217
73,HSF1m,ZF(5X),BRD4,ZF(7X),73,KC93,KC104,SS,206,711,695,648,,2.909959072,2.844474761,2.652114598
74,HSF1m,ZF(7X),BRD4,ZF(WT),74,KC107,KC9,SS,206,512,519,469,,2.095497954,2.12414734,1.919508868
75,HSF1m,ZF(7X),BRD4,ZF(5X),75,KC107,KC90,SS,206,489,483,458,,2.001364256,1.97680764,1.874488404
76,HSF1m,ZF(7X),BRD4,ZF(7X),76,KC107,KC104,SS,206,525,522,503,,2.148703956,2.136425648,2.058663029
77,HSF1m,ZF(WT),SP1,ZF(WT),77,KC12,KC14,SS,206,629,633,643,,2.574351978,2.590723056,2.63165075
78,HSF1m,ZF(WT),SP1,ZF(5X),78,KC12,KC94,SS,206,730,714,710,,2.987721692,2.922237381,2.905866303
79,HSF1m,ZF(WT),SP1,ZF(7X),79,KC12,KC108,SS,206,707,681,666,,2.893587995,2.787175989,2.725784447
80,HSF1m,ZF(5X),SP1,ZF(WT),80,KC93,KC14,SS,206,649,664,622,,2.656207367,2.717598909,2.545702592
81,HSF1m,ZF(5X),SP1,ZF(5X),81,KC93,KC94,SS,206,745,763,741,,3.049113233,3.122783083,3.032742156
82,HSF1m,ZF(5X),SP1,ZF(7X),82,KC93,KC108,SS,206,743,784,756,,3.040927694,3.208731241,3.094133697
83,HSF1m,ZF(7X),SP1,ZF(WT),83,KC107,KC14,SS,206,642,661,645,,2.627557981,2.7053206,2.639836289
84,HSF1m,ZF(7X),SP1,ZF(5X),84,KC107,KC94,SS,206,621,667,650,,2.541609823,2.729877217,2.660300136
85,HSF1m,ZF(7X),SP1,ZF(7X),85,KC107,KC108,SS,206,604,595,572,,2.472032742,2.435197817,2.34106412
86,HSF1m,ZF(WT),HSF1m,ZF(WT),86,KC12,KC12,SS,206,726,698,643,,2.971350614,2.85675307,2.63165075
87,HSF1m,ZF(WT),HSF1m,ZF(5X),87,KC12,KC93,SS,206,755,745,709,,3.090040928,3.049113233,2.901773533
88,HSF1m,ZF(WT),HSF1m,ZF(7X),88,KC12,KC107,SS,206,723,716,659,,2.959072306,2.93042292,2.697135061
89,HSF1m,ZF(5X),HSF1m,ZF(WT),89,KC93,KC12,SS,206,768,768,720,,3.14324693,3.14324693,2.946793997
90,HSF1m,ZF(5X),HSF1m,ZF(5X),90,KC93,KC93,SS,206,824,842,773,,3.372442019,3.446111869,3.163710778
91,HSF1m,ZF(5X),HSF1m,ZF(7X),91,KC93,KC107,SS,206,798,790,733,,3.266030014,3.233287858,3
92,HSF1m,ZF(7X),HSF1m,ZF(WT),92,KC107,KC12,SS,206,718,695,659,,2.938608458,2.844474761,2.697135061
93,HSF1m,ZF(7X),HSF1m,ZF(5X),93,KC107,KC93,SS,206,705,700,633,,2.885402456,2.864938608,2.590723056
94,HSF1m,ZF(7X),HSF1m,ZF(7X),94,KC107,KC107,SS,206,594,596,586,,2.431105048,2.439290587,2.398362892
95,HSF1m,ZF(WT),HSF1,ZF(WT),95,KC12,KC11,SS,206,716,719,731,,2.93042292,2.942701228,2.991814461
96,HSF1m,ZF(WT),HSF1,ZF(5X),96,KC12,KC92,SS,206,710,746,731,,2.905866303,3.053206003,2.991814461
97,HSF1m,ZF(WT),HSF1,ZF(7X),97,KC12,KC106,SS,206,628,685,689,,2.570259209,2.803547067,2.819918145
98,HSF1m,ZF(5X),HSF1,ZF(WT),98,KC93,KC11,SS,206,775,805,785,,3.171896317,3.2946794,3.212824011
99,HSF1m,ZF(5X),HSF1,ZF(5X),99,KC93,KC92,SS,206,745,799,825,,3.049113233,3.270122783,3.376534789
100,HSF1m,ZF(5X),HSF1,ZF(7X),100,KC93,KC106,SS,206,683,759,767,,2.795361528,3.106412005,3.139154161
101,HSF1m,ZF(7X),HSF1,ZF(WT),101,KC107,KC11,SS,206,723,752,747,,2.959072306,3.077762619,3.057298772
102,HSF1m,ZF(7X),HSF1,ZF(5X),102,KC107,KC92,SS,206,680,661,676,,2.78308322,2.7053206,2.766712142
103,HSF1m,ZF(7X),HSF1,ZF(7X),103,KC107,KC106,SS,206,569,598,565,,2.328785812,2.447476126,2.312414734
104,HSF1m,ZF(WT),empty,ZF(WT),104,KC12,KC300,SS,206,455,413,421,,1.862210095,1.690313779,1.723055935
105,HSF1m,ZF(WT),empty,ZF(5X),105,KC12,KC302,SS,206,603,550,548,,2.467939973,2.251023192,2.242837653
106,HSF1m,ZF(WT),empty,ZF(7X),106,KC12,KC303,SS,206,589,587,559,,2.410641201,2.402455662,2.287858117
107,HSF1m,ZF(5X),empty,ZF(WT),107,KC93,KC300,SS,206,474,424,402,,1.939972715,1.735334243,1.645293315
108,HSF1m,ZF(5X),empty,ZF(5X),108,KC93,KC302,SS,206,591,575,542,,2.418826739,2.353342428,2.218281037
109,HSF1m,ZF(5X),empty,ZF(7X),109,KC93,KC303,SS,206,666,647,584,,2.725784447,2.648021828,2.390177353
110,HSF1m,ZF(7X),empty,ZF(WT),110,KC107,KC300,SS,206,379,381,326,,1.551159618,1.559345157,1.334242838
111,HSF1m,ZF(7X),empty,ZF(5X),111,KC107,KC302,SS,206,414,405,381,,1.694406548,1.657571623,1.559345157
112,HSF1m,ZF(7X),empty,ZF(7X),112,KC107,KC303,SS,206,448,452,438,,1.833560709,1.849931787,1.792633015
113,HSF1m,ZF(WT),-,-,113,KC12,SS,SS,206,607,692,707,,2.48431105,2.832196453,2.893587995
114,HSF1m,ZF(5X),-,-,114,KC93,SS,SS,206,675,770,791,,2.762619372,3.151432469,3.237380628
115,HSF1m,ZF(7X),-,-,115,KC107,SS,SS,206,484,563,595,,1.980900409,2.304229195,2.435197817
116,-,-,-,-,116,SS,SS,SS,206,223,243,248,,0.912687585,0.994542974,1.015006821
