activator1,affinity1,activator2,affinity2,geometricmeanGFP1,geometricmeanGFP2,geometricmeanGFP3,205.1666667,GFPfa1,GFPfa2,GFPfa3
cMyc,ZF(12X),-,-,255,260,280,,1.242891958,1.267262388,1.36474411
BRD4,ZF(12X),BRD4,ZF(12X),323,306,342,,1.574329813,1.491470349,1.666937449
BRD4,ZF(12X),SP1,ZF(12X),497,466,505,,2.422420796,2.271324127,2.461413485
BRD4,ZF(12X),HSF1,ZF(12X),551,518,511,,2.685621446,2.524776604,2.490658002
BRD4,ZF(12X),empty,ZF(12X),374,343,335,,1.822908205,1.671811535,1.632818846
BRD4,ZF(12X),-,-,340,306,297,,1.657189277,1.491470349,1.447603574
SP1,ZF(12X),SP1,ZF(12X),637,575,558,,3.104792851,2.802599513,2.719740049
SP1,ZF(12X),HSF1,ZF(12X),589,558,538,,2.870836718,2.719740049,2.622258327
SP1,ZF(12X),empty,ZF(12X),557,532,524,,2.714865963,2.59301381,2.554021121
SP1,ZF(12X),-,-,474,463,463,,2.310316816,2.256701868,2.256701868
HSF1,ZF(12X),HSF1,ZF(12X),588,567,608,,2.865962632,2.763606824,2.963444354
HSF1,ZF(12X),empty,ZF(12X),515,485,488,,2.510154346,2.363931763,2.378554021
HSF1,ZF(12X),-,-,500,468,506,,2.437043054,2.281072299,2.466287571
empty,ZF(12X),empty,ZF(12X),305,296,293,,1.486596263,1.442729488,1.42810723
empty,ZF(12X),-,-,255,262,265,,1.242891958,1.277010561,1.291632819
-,,-,-,202,194,206,200.6666667,0.984565394,0.945572705,1.004061738
cMyc,ZF(WT),cMyc,ZF(5X),374,340,337,,1.822908205,1.657189277,1.642567019
cMyc,ZF(WT),BRD4,ZF(5X),398,360,367,,1.939886271,1.754670999,1.788789602
cMyc,ZF(WT),SP1,ZF(5X),568,509,507,,2.76848091,2.480909829,2.471161657
cMyc,ZF(WT),HSF1,ZF(5X),609,571,572,,2.96831844,2.783103168,2.787977254
cMyc,ZF(WT),empty,ZF(5X),356,322,327,,1.735174655,1.569455727,1.593826158
BRD4,ZF(WT),cMyc,ZF(5X),416,365,369,,2.027619821,1.77904143,1.798537774
BRD4,ZF(WT),BRD4,ZF(5X),426,387,402,,2.076360682,1.886271324,1.959382616
BRD4,ZF(WT),SP1,ZF(5X),604,582,599,,2.94394801,2.836718115,2.919577579
BRD4,ZF(WT),HSF1,ZF(5X),582,569,571,,2.836718115,2.773354996,2.783103168
BRD4,ZF(WT),empty,ZF(5X),380,358,379,,1.852152721,1.744922827,1.847278635
SP1,ZF(WT),cMyc,ZF(5X),499,482,503,,2.432168968,2.349309504,2.451665313
SP1,ZF(WT),BRD4,ZF(5X),513,492,514,,2.500406174,2.398050366,2.50528026
SP1,ZF(WT),SP1,ZF(5X),540,502,555,,2.632006499,2.446791227,2.70511779
SP1,ZF(WT),HSF1,ZF(5X),582,539,603,,2.836718115,2.627132413,2.939073924
SP1,ZF(WT),empty,ZF(5X),498,459,535,,2.427294882,2.237205524,2.607636068
HSF1,ZF(WT),cMyc,ZF(5X),773,763,786,,3.767668562,3.718927701,3.831031682
HSF1,ZF(WT),BRD4,ZF(5X),748,693,658,,3.645816409,3.377741673,3.20714866
