,activator1,affinity1,activator2,affinity2,PCR tube,#1,#2,#3,#4,#5,geometricmeanGFP1,geometricmeanGFP2,geometricmeanGFP3,backgroundGFP,GFPfa1,GFPfa2,GFPfa3,geometricmeanIRFP1,geometricmeanIRFP2,geometricmeanIRFP3,avg1,avg2,avg3,ratio (GFP/IRFP)1,ratio (GFP/IRFP)2,ratio (GFP/IRFP)3,0.005249778,nFC1,nFC2,nFC3
120,VP16m,ZF(WT),-,-,,pKC-17,SS,SS,,206,1640,1518,1660,,6.871508379,6.360335195,6.955307262,49564,50815,51025,50468,50468,50468,0.032495839,0.030078466,0.03289213,,6.189945323,5.729473781,6.265432461
121,VP16m,ZF(5X),Tat,ZF(WT),,pKC-96,pKC-15,SS,,206,1364,1412,1436,,5.715083798,5.916201116,6.016759776,54228,54291,54321,54280,54280,54280,0.025128961,0.026013265,0.026455416,,4.786671134,4.955117039,5.039339992
122,VP16m,ZF(5X),cMyc,ZF(WT),,pKC-96,pKC-10,SS,,206,1069,1075,1114,,4.479050279,4.504189944,4.667597765,52556,52799,53812,53055.66667,53055.66667,53055.66667,0.020148649,0.020261738,0.020996815,,3.838000159,3.859541788,3.999562373
123,VP16m,ZF(5X),BRD4,ZF(WT),,pKC-96,pKC-9,SS,,206,747,741,793,,3.129888268,3.104748603,3.322625698,53277,53620,54916,53937.66667,53937.66667,53937.66667,0.01384932,0.01373808,0.014702156,,2.638077233,2.616887858,2.800529111
124,VP16m,ZF(5X),SP1,ZF(WT),,pKC-96,pKC-14,SS,,206,625,657,615,,2.618715083,2.752793296,2.576815642,54663,52647,58110,55140,55140,55140,0.011334784,0.011915125,0.011153428,,2.159097799,2.269643607,2.124552235
125,VP16m,ZF(5X),HSF1m1,ZF(WT),,pKC-96,pKC-12,SS,,206,764,744,766,,3.201117318,3.117318435,3.209497206,53667,55940,57690,55765.66667,55765.66667,55765.66667,0.013700186,0.013341542,0.01373605,,2.609669557,2.5413536,2.616501152
126,VP16m,ZF(5X),VP16m,ZF(WT),,pKC-96,pKC-17,SS,,206,1784,1759,1595,,7.474860334,7.370111731,6.682960893,53275,53549,57619,54814.33333,54814.33333,54814.33333,0.032546232,0.032090147,0.029098229,,6.199544372,6.112667349,5.542754077
127,VP16m,ZF(5X),HSF1,ZF(WT),,pKC-96,pKC-11,SS,,206,1116,1098,1020,,4.675977653,4.600558659,4.273743016,55404,53400,54423,54409,54409,54409,0.020511312,0.020180485,0.018746898,,3.907081854,3.844064405,3.570988791
128,VP16m,ZF(5X),VP16,ZF(WT),,pKC-96,pKC-16,SS,,206,1903,1877,1912,,7.973463686,7.864525139,8.011173183,53907,50644,49399,51316.66667,51316.66667,51316.66667,0.037083469,0.036576811,0.03725885,,7.063816502,6.967306134,7.097223936
129,VP16m,ZF(5X),empty,ZF(WT),,pKC-96,pKC-300,SS,,206,499,478,481,,2.090782123,2.002793296,2.015363128,55585,53962,53417,54321.33333,54321.33333,54321.33333,0.009186078,0.008799489,0.008854716,,1.749803108,1.676164099,1.686683958
130,VP16m,ZF(5X),-,ZF(WT),,pKC-96,SS,SS,,206,1489,1473,1442,,6.238826815,6.171787709,6.04189944,50471,49668,48362,49500.33333,49500.33333,49500.33333,0.030080606,0.029757375,0.029131117,,5.729881409,5.668311158,5.549018799
