,activator1,affinity1,activator2,affinity2,PCR tube,#1,#2,#3,#4,#5,geometricmeanGFP1,geometricmeanGFP2,geometricmeanGFP3,backgroundGFP,GFPfa1,GFPfa2,GFPfa3,geometricmeanIRFP1,geometricmeanIRFP2,geometricmeanIRFP3,avg1,avg2,avg3,ratio (GFP/IRFP)1,ratio (GFP/IRFP)2,ratio (GFP/IRFP)3,0.005249778,nFC1,nFC2,nFC3
49,HSF1,ZF(WT),-,-,0-7,pKC-11,SS,SS,,206,860,819,810,,3.603351955,3.431564245,3.393854748,48587,50712,49596,49631.66667,49631.66667,49631.66667,0.017327647,0.016501562,0.016320226,,3.300643743,3.143287472,3.108745851
50,VP16,ZF(WT),VP16,ZF(WT),,pKC-16,pKC-16,SS,,206,2437,2305,2223,,10.21089385,9.657821228,9.314245809,47576,47908,50311,48598.33333,48598.33333,48598.33333,0.050145753,0.04742961,0.045742309,,9.551975786,9.034593429,8.713189238
51,VP16,ZF(WT),empty,ZF(WT),,pKC-16,pKC-300,SS,,206,1025,964,960,,4.294692737,4.039106145,4.022346368,51039,51501,50664,51068,51068,51068,0.020071278,0.018876792,0.018798465,,3.823262128,3.595731406,3.580811359
52,VP16,ZF(WT),-,-,,pKC-16,SS,SS,,206,2062,1980,2074,,8.639664803,8.296089384,8.689944133,45720,45934,45153,45602.33333,45602.33333,45602.33333,0.045216985,0.043418831,0.045480129,,8.613123122,8.270603192,8.66324799
53,empty,ZF(WT),empty,ZF(WT),,pKC-300,pKC-300,SS,,206,340,306,291,,1.424581005,1.282122905,1.219273743,51613,51680,53476,52256.33333,52256.33333,52256.33333,0.006506388,0.00585575,0.005568703,,1.239364473,1.115428026,1.060750182
54,empty,ZF(WT),-,-,,pKC-300,SS,SS,,206,355,313,302,,1.487430167,1.311452514,1.265363128,47919,50975,51515,50136.33333,50136.33333,50136.33333,0.007080693,0.006242977,0.006023576,,1.348760514,1.189188847,1.147396268
55,-,-,-,-,,SS,SS,SS,,206,258,231,231,,1.081005586,0.967877095,0.967877095,45278,47272,48399,46983,46983,46983,0.005491348,0.004916672,0.004916672,0.005108231,1.046015261,0.936548548,0.936548548
56,Tat,ZF(5X),Tat,ZF(5X),1-May,pKC-95,pKC-95,SS,,206,262,254,244,,1.097765363,1.06424581,1.022346369,51568,53666,55574,53602.66667,53602.66667,53602.66667,0.004887817,0.00473857,0.004552012,,0.931052037,0.902622967,0.86708663
57,Tat,ZF(5X),cMyc,ZF(5X),,pKC-95,pKC-91,SS,,206,366,362,371,,1.533519553,1.516759776,1.554469274,50968,52669,52450,52029,52029,52029,0.007034538,0.006957658,0.007130639,,1.339968737,1.32532427,1.35827432
58,Tat,ZF(5X),BRD4,ZF(5X),,pKC-95,pKC-90,SS,,206,416,420,445,,1.74301676,1.759776536,1.864525139,50825,52095,53788,52236,52236,52236,0.007963856,0.008040432,0.008519029,,1.516989157,1.531575591,1.622740805
59,Tat,ZF(5X),SP1,ZF(5X),,pKC-95,pKC-94,SS,,206,728,749,723,,3.050279329,3.138268156,3.029329609,50406,51261,52536,51401,51401,51401,0.014163149,0.014571701,0.014065874,,2.697856653,2.775679441,2.679327418
60,Tat,ZF(5X),HSF1m1,ZF(5X),,pKC-95,pKC-93,SS,,206,804,810,827,,3.368715083,3.393854748,3.465083798,51062,52116,54137,52438.33333,52438.33333,52438.33333,0.015332295,0.015446715,0.015770906,,2.92056064,2.942355869,3.004109017
61,Tat,ZF(5X),VP16m,ZF(5X),,pKC-95,pKC-96,SS,,206,1773,1774,1776,,7.428770949,7.432960893,7.441340781,48955,49787,53707,50816.33333,50816.33333,50816.33333,0.034890357,0.034910035,0.034949393,,6.646063242,6.649811726,6.657308696
62,Tat,ZF(5X),HSF1,ZF(5X),,pKC-95,pKC-92,SS,,206,846,877,865,,3.544692737,3.674581005,3.624301675,52202,52028,56982,53737.33333,53737.33333,53737.33333,0.015743245,0.016320125,0.016096817,,2.998840111,3.108726687,3.066189948
63,Tat,ZF(5X),VP16,ZF(5X),,pKC-95,pKC-85,SS,,206,2070,2103,2016,,8.673184356,8.811452513,8.446927373,53296,53517,59135,55316,55316,55316,0.037421361,0.038017933,0.036445151,,7.128179651,7.241817298,6.942227139
64,Tat,ZF(5X),empty,ZF(5X),2-May,pKC-95,pKC-302,SS,,206,468,345,340,,1.960893854,1.445530726,1.424581005,54384,54438,54012,54278,54278,54278,0.008622278,0.006356166,0.006264048,,1.64240809,1.210749554,1.193202459
65,Tat,ZF(5X),-,-,,pKC-95,SS,SS,,206,274,213,242,,1.148044693,0.8924581,1.01396648,47498,47816,46934,47416,47416,47416,0.00577864,0.004492155,0.005103762,,1.100739896,0.855684664,0.972186332
66,cMyc,ZF(5X),cMyc,ZF(5X),,pKC-91,pKC-91,SS,,206,426,369,372,,1.784916201,1.546089385,1.558659218,49923,51723,50877,50841,50841,50841,0.008379064,0.007257922,0.007316929,,1.5960797,1.382519741,1.393759738
67,cMyc,ZF(5X),BRD4,ZF(5X),,pKC-91,pKC-90,SS,,206,501,431,431,,2.099162011,1.805865922,1.805865922,49145,51037,49339,49840.33333,49840.33333,49840.33333,0.0100521,0.008647615,0.008647615,,1.914766615,1.647234354,1.647234354
68,cMyc,ZF(5X),SP1,ZF(5X),,pKC-91,pKC-94,SS,,206,727,660,589,,3.046089385,2.765363128,2.467877095,51664,52162,52496,52107.33333,52107.33333,52107.33333,0.013951971,0.012666163,0.011303591,,2.657630639,2.412704569,2.153156047
69,cMyc,ZF(5X),HSF1m1,ZF(5X),,pKC-91,pKC-93,SS,,206,774,732,645,,3.243016759,3.067039106,2.702513966,53209,52252,54765,53408.66667,53408.66667,53408.66667,0.01449203,0.013705641,0.012076692,,2.760503384,2.610708626,2.300419486
70,cMyc,ZF(5X),VP16m,ZF(5X),,pKC-91,pKC-96,SS,,206,1539,1497,1522,,6.448324021,6.272346368,6.377094971,50635,49682,51764,50693.66667,50693.66667,50693.66667,0.030358822,0.029530316,0.030023474,,5.782877254,5.625059941,5.718998818
71,cMyc,ZF(5X),HSF1,ZF(5X),,pKC-91,pKC-92,SS,,206,845,833,830,,3.540502793,3.490223463,3.477653631,55212,52366,53559,53712.33333,53712.33333,53712.33333,0.015731955,0.015508542,0.015452689,,2.99668952,2.954132982,2.943493848
72,cMyc,ZF(5X),VP16,ZF(5X),3-May,pKC-91,pKC-85,SS,,206,1861,1806,1768,,7.797486032,7.567039105,7.407821228,48562,50922,52490,50658,50658,50658,0.036736547,0.035650835,0.034900707,,6.997733399,6.790922364,6.648034739
73,cMyc,ZF(5X),empty,ZF(5X),,pKC-91,pKC-302,SS,,206,396,361,388,,1.659217877,1.512569832,1.625698324,50310,51791,53350,51817,51817,51817,0.00764228,0.006966826,0.00748789,,1.455733846,1.327070501,1.426325082
74,cMyc,ZF(5X),-,-,,pKC-91,SS,SS,,206,361,342,361,,1.512569832,1.432960894,1.512569832,44787,47278,48348,46804.33333,46804.33333,46804.33333,0.007712961,0.007307016,0.007712961,,1.469197557,1.391871369,1.469197557
75,BRD4,ZF(5X),BRD4,ZF(5X),,pKC-90,pKC-90,SS,,206,456,462,471,,1.910614525,1.93575419,1.973463687,49575,50651,51934,50720,50720,50720,0.008990536,0.009108833,0.009286278,,1.712555508,1.735089133,1.768889571
76,BRD4,ZF(5X),SP1,ZF(5X),,pKC-90,pKC-94,SS,,206,656,665,657,,2.748603352,2.786312849,2.752793296,50502,51499,52801,51600.66667,51600.66667,51600.66667,0.012713014,0.01288743,0.012732394,,2.421628872,2.454852439,2.42532038
77,BRD4,ZF(5X),HSF1m1,ZF(5X),,pKC-90,pKC-93,SS,,206,661,730,717,,2.769553072,3.058659217,3.004189944,51652,51626,53385,52221,52221,52221,0.012657743,0.013979051,0.013730109,,2.411100619,2.662788884,2.615369356
78,BRD4,ZF(5X),VP16m,ZF(5X),,pKC-90,pKC-96,SS,,206,1206,1244,1151,,5.053072625,5.212290502,4.822625698,48725,49096,53248,50356.33333,50356.33333,50356.33333,0.023949321,0.024703943,0.022857105,,4.561968344,4.705711956,4.353918378
